CV_CB3_D4_-20C
Date/Time: 2/10/2017 1:15:34 PM
Sensor Name: CB3_D4
Type: N
Annealing Status: 0min
Environment: -20C
Tester: Dante + Soumya

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 3.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_Cp_freq2	LCR_Rp_freq1	LCR_Rp_freq2	Temperature	Air_Temp	Humidity	Dewpoint	
  460.0000	8.885E-12	9.119E-12	-1.253E+9	-3.240E+8	  -20.0249	    7.4363	    4.6534	  -30.5118	
  470.0000	8.894E-12	9.128E-12	-1.234E+9	-5.325E+8	  -20.0043	    7.4329	    4.6847	  -30.4441	
  480.0000	8.758E-12	9.118E-12	-1.371E+9	-3.079E+8	  -20.0439	    7.4494	    4.6920	  -30.4160	
  490.0000	8.835E-12	9.115E-12	-2.976E+9	-3.005E+8	  -20.0943	    7.3938	    4.6749	  -30.4940	
  500.0000	8.838E-12	9.106E-12	-8.402E+8	-3.348E+8	  -20.1706	    7.3731	    4.6509	  -30.5627	
  510.0000	8.876E-12	9.104E-12	-1.164E+9	-3.204E+8	  -20.1847	    7.3858	    4.6325	  -30.5949	
  520.0000	8.814E-12	9.107E-12	-6.933E+10	-3.019E+8	  -20.0783	    7.4515	    4.6262	  -30.5623	
  530.0000	8.792E-12	9.108E-12	-9.832E+8	-2.902E+8	  -20.0161	    7.4169	    4.6129	  -30.6171	
  540.0000	8.779E-12	9.107E-12	-8.603E+8	-2.890E+8	  -20.0420	    7.4753	    4.5848	  -30.6393	
  550.0000	8.779E-12	9.098E-12	-6.587E+9	-3.023E+8	  -20.0562	    7.4251	    4.5553	  -30.7424	
  560.0000	8.867E-12	9.096E-12	-1.391E+9	-3.083E+8	  -20.1202	    7.4550	    4.5459	  -30.7428	
  570.0000	8.758E-12	9.100E-12	-8.332E+8	-2.832E+8	  -20.1515	    7.4997	    4.5294	  -30.7488	
  580.0000	8.823E-12	9.096E-12	-2.668E+9	-2.912E+8	  -20.1633	    7.4477	    4.5063	  -30.8392	
  590.0000	8.844E-12	9.096E-12	-1.651E+9	-5.319E+8	  -20.1595	    7.5171	    4.4693	  -30.8757	
  600.0000	8.764E-12	9.086E-12	1.796E+11	-3.037E+8	  -20.0745	    7.5618	    4.4646	  -30.8549	
  610.0000	8.823E-12	9.085E-12	-2.504E+9	-3.079E+8	  -20.0695	    7.5268	    4.4522	  -30.9087	
  620.0000	8.831E-12	9.084E-12	-1.155E+9	-2.984E+8	  -20.0813	    7.4540	    4.4386	  -30.9924	
  630.0000	8.832E-12	9.073E-12	-1.591E+9	-3.054E+8	  -20.1302	    7.4499	    4.4254	  -31.0266	
  640.0000	8.837E-12	9.073E-12	-1.249E+9	-3.233E+8	  -20.1618	    7.5133	    4.4304	  -30.9695	
  650.0000	8.771E-12	9.072E-12	-1.044E+9	-3.221E+8	  -20.0806	    7.4683	    4.4519	  -30.9511	
  660.0000	8.758E-12	9.076E-12	-8.021E+8	-2.997E+8	  -20.0058	    7.5281	    4.4753	  -30.8538	
  670.0000	8.823E-12	9.067E-12	-1.329E+9	-3.263E+8	  -20.0127	    7.4692	    4.4810	  -30.8826	
  680.0000	8.821E-12	9.065E-12	-1.490E+9	-3.256E+8	  -20.0584	    7.4081	    4.4855	  -30.9159	
