IV_CB3_D4_-20C
Date/Time: 2/10/2017 1:03:52 PM
Sensor Name: CB3_D4
Type: N
Annealing Status: 0min
Environment: -20C
Tester: Dante + Soumya

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 3.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Current_Avg	Current_0	Current_1	Current_2	GR Current_Avg	GR Current_0	GR Current_1	GR Current_2	Temperature	Air_Temp	Humidity	Dewpoint	
  300.0000	4.8293E-10	4.2480E-10	5.1380E-10	5.1020E-10	4.244000E-11	4.242346E-11	4.243926E-11	4.245727E-11	  -20.0481	    7.9671	    4.3229	  -30.9030	
  310.0000	4.6123E-10	5.3680E-10	4.2910E-10	4.1780E-10	4.266142E-11	4.261276E-11	4.261114E-11	4.276035E-11	  -20.1313	    8.0591	    4.3336	  -30.8117	
  320.0000	4.7493E-10	5.4920E-10	4.3850E-10	4.3710E-10	4.311460E-11	4.307842E-11	4.308754E-11	4.317783E-11	  -20.1134	    8.0952	    4.3374	  -30.7770	
  330.0000	4.3837E-10	4.4560E-10	4.4060E-10	4.2890E-10	4.333021E-11	4.349610E-11	4.327683E-11	4.321771E-11	  -20.0706	    8.0216	    4.3286	  -30.8505	
  340.0000	5.3367E-10	4.4940E-10	5.7360E-10	5.7800E-10	4.371854E-11	4.352788E-11	4.367183E-11	4.395590E-11	  -20.1389	    7.9773	    4.3646	  -30.7955	
  350.0000	4.4653E-10	4.2180E-10	4.5090E-10	4.6690E-10	4.420235E-11	4.415045E-11	4.428569E-11	4.417090E-11	  -20.1244	    8.0107	    4.4143	  -30.6431	
  360.0000	5.6257E-10	6.0710E-10	4.8030E-10	6.0030E-10	4.434259E-11	4.413283E-11	4.439766E-11	4.449728E-11	  -20.0928	    8.0331	    4.4114	  -30.6444	
  370.0000	5.0697E-10	4.4530E-10	4.7690E-10	5.9870E-10	4.497393E-11	4.503541E-11	4.499391E-11	4.489246E-11	  -20.0474	    8.0614	    4.3245	  -30.7411	
  380.0000	5.1263E-10	4.7370E-10	5.9520E-10	4.6900E-10	4.515824E-11	4.509291E-11	4.512449E-11	4.525731E-11	  -20.0600	    8.0311	    4.3099	  -30.8889	
  390.0000	5.3013E-10	6.2380E-10	4.9050E-10	4.7610E-10	4.537541E-11	4.531846E-11	4.534558E-11	4.546220E-11	  -20.2053	    7.9653	    4.2464	  -31.0903	
  400.0000	4.9953E-10	5.0110E-10	5.0100E-10	4.9650E-10	4.608889E-11	4.598152E-11	4.579039E-11	4.649477E-11	  -20.0966	    7.9651	    4.2353	  -31.1177	
  410.0000	4.9137E-10	4.8920E-10	4.9700E-10	4.8790E-10	4.602140E-11	4.639798E-11	4.639838E-11	4.526784E-11	  -20.0638	    7.8837	    4.2369	  -31.1714	
  420.0000	5.0343E-10	5.0790E-10	4.9210E-10	5.1030E-10	4.658073E-11	4.663991E-11	4.651702E-11	4.658526E-11	  -20.0298	    7.8837	    4.2508	  -31.1373	
  430.0000	5.1207E-10	4.9830E-10	5.2990E-10	5.0800E-10	4.631180E-11	4.684340E-11	4.649395E-11	4.559806E-11	  -20.1218	    7.9271	    4.2676	  -31.0656	
  440.0000	5.1610E-10	5.1900E-10	5.0340E-10	5.2590E-10	4.725966E-11	4.712300E-11	4.732648E-11	4.732950E-11	  -20.0932	    7.9060	    4.2881	  -31.0305	
  450.0000	5.6667E-10	5.9110E-10	5.5780E-10	5.5110E-10	4.732021E-11	4.753664E-11	4.748704E-11	4.693695E-11	  -20.1431	    7.8592	    4.2827	  -31.0768	
  460.0000	5.4437E-10	5.5290E-10	5.5130E-10	5.2890E-10	4.792515E-11	4.783101E-11	4.805878E-11	4.788566E-11	  -20.1088	    7.9852	    4.2388	  -31.0948	
  470.0000	5.6940E-10	5.5750E-10	5.6410E-10	5.8660E-10	4.820037E-11	4.811770E-11	4.804522E-11	4.843819E-11	  -20.1286	    7.9852	    4.2559	  -31.0530	
  480.0000	5.6717E-10	5.6950E-10	5.7470E-10	5.5730E-10	4.839878E-11	4.857162E-11	4.821286E-11	4.841187E-11	  -20.0478	    7.9225	    4.3311	  -30.9149	
  490.0000	6.0233E-10	6.2420E-10	6.0170E-10	5.8110E-10	4.859072E-11	4.857629E-11	4.864330E-11	4.855257E-11	  -20.0508	    7.8587	    4.3273	  -30.9123	
  500.0000	5.9020E-10	6.0380E-10	5.7410E-10	5.9270E-10	4.910430E-11	4.887512E-11	4.927254E-11	4.916524E-11	  -20.1118	    7.8728	    4.2957	  -30.9890	
  510.0000	6.1267E-10	6.1440E-10	6.2590E-10	5.9770E-10	4.956450E-11	4.963455E-11	4.939504E-11	4.966390E-11	  -20.0924	    7.8394	    4.2963	  -31.1062	
  520.0000	6.1513E-10	5.9420E-10	6.0230E-10	6.4890E-10	4.976161E-11	4.978335E-11	4.973070E-11	4.977079E-11	  -20.1206	    7.8134	    4.3308	  -30.9931	
  530.0000	6.5083E-10	6.8640E-10	6.3080E-10	6.3530E-10	5.012537E-11	5.018159E-11	5.026157E-11	4.993296E-11	  -20.1508	    7.8331	    4.3232	  -30.9973	
  540.0000	7.3027E-10	7.6410E-10	7.4960E-10	6.7710E-10	5.030967E-11	5.037188E-11	5.017652E-11	5.038060E-11	  -20.1206	    7.8331	    4.2982	  -31.0577	
  550.0000	7.1927E-10	8.0580E-10	6.4200E-10	7.1000E-10	5.097044E-11	5.095944E-11	5.096065E-11	5.099124E-11	  -20.0790	    7.7581	    4.2751	  -31.1669	
  560.0000	7.2977E-10	7.6610E-10	7.0790E-10	7.1530E-10	5.112919E-11	5.125263E-11	5.120220E-11	5.093273E-11	  -20.0188	    7.7581	    4.2900	  -31.1308	
  570.0000	7.3040E-10	7.9200E-10	6.7790E-10	7.2130E-10	5.123366E-11	5.115686E-11	5.113985E-11	5.140426E-11	  -20.1237	    7.7813	    4.2944	  -31.1036	
  580.0000	7.9553E-10	8.0390E-10	7.9530E-10	7.8740E-10	5.163952E-11	5.164114E-11	5.139697E-11	5.188044E-11	  -20.1706	    7.7871	    4.2891	  -31.1126	
  590.0000	8.0597E-10	8.6350E-10	7.9780E-10	7.5660E-10	5.207562E-11	5.226938E-11	5.188612E-11	5.207136E-11	  -20.1057	    7.8197	    4.3058	  -31.0488	
  600.0000	7.4720E-10	6.8840E-10	8.0560E-10	7.4760E-10	5.259312E-11	5.253481E-11	5.248257E-11	5.276198E-11	  -20.0535	    7.8529	    4.3125	  -31.0092	
  610.0000	8.1927E-10	7.9820E-10	8.2500E-10	8.3460E-10	5.273841E-11	5.282169E-11	5.262085E-11	5.277270E-11	  -20.0333	    7.8344	    4.3406	  -30.9546	
  620.0000	6.9677E-10	7.1040E-10	6.8530E-10	6.9460E-10	5.286152E-11	5.298750E-11	5.289459E-11	5.270246E-11	  -20.1073	    7.8532	    4.3460	  -30.9283	
  630.0000	8.6627E-10	8.6850E-10	8.5810E-10	8.7220E-10	5.314631E-11	5.297273E-11	5.306302E-11	5.340317E-11	  -20.1973	    7.8532	    4.3602	  -30.8942	
  640.0000	8.1670E-10	8.8000E-10	8.6600E-10	7.0410E-10	5.336761E-11	5.372692E-11	5.367102E-11	5.270488E-11	  -20.1176	    7.7138	    4.3343	  -31.0555	
  650.0000	9.3273E-10	9.3970E-10	9.2850E-10	9.3000E-10	5.424257E-11	5.389818E-11	5.443815E-11	5.439139E-11	  -20.0562	    7.8167	    4.3099	  -31.0410	
  660.0000	9.3513E-10	9.4000E-10	9.2390E-10	9.4150E-10	5.359549E-11	5.404496E-11	5.415145E-11	5.259007E-11	  -20.0855	    7.7999	    4.2903	  -31.1005	
  670.0000	9.7210E-10	9.7800E-10	9.7240E-10	9.6590E-10	5.469290E-11	5.429338E-11	5.477827E-11	5.500706E-11	  -20.1164	    7.8428	    4.2552	  -31.1555	
  680.0000	9.4377E-10	9.3520E-10	9.3950E-10	9.5660E-10	5.455233E-11	5.484145E-11	5.499814E-11	5.381739E-11	  -20.1359	    7.8896	    4.2451	  -31.1758	
  690.0000	9.6140E-10	9.2300E-10	9.9060E-10	9.7060E-10	5.527734E-11	5.526094E-11	5.535104E-11	5.522005E-11	  -20.1317	    7.8829	    4.2543	  -31.1294	
  700.0000	8.0643E-10	7.3290E-10	7.3200E-10	9.5440E-10	5.572843E-11	5.533080E-11	5.587843E-11	5.597605E-11	  -20.0893	    7.7028	    4.3052	  -31.1334	
  710.0000	 1.0054E-9	 1.0104E-9	9.9820E-10	 1.0076E-9	5.555113E-11	5.633399E-11	5.604243E-11	5.427697E-11	  -20.1298	    7.7502	    4.3305	  -31.0776	
  720.0000	 1.0253E-9	 1.0335E-9	 1.0236E-9	 1.0188E-9	5.637320E-11	5.653505E-11	5.669294E-11	5.589162E-11	  -20.0535	    7.6872	    4.3172	  -31.0995	
  730.0000	 1.0194E-9	 1.0162E-9	 1.0268E-9	 1.0153E-9	5.648516E-11	5.666015E-11	5.680756E-11	5.598777E-11	  -20.0623	    7.6347	    4.3302	  -31.1040	
  740.0000	 1.0436E-9	 1.0607E-9	 1.0373E-9	 1.0328E-9	5.714195E-11	5.687335E-11	5.744935E-11	5.710315E-11	  -20.1256	    7.5293	    4.3289	  -31.1994	
  750.0000	8.2180E-10	8.7620E-10	7.5550E-10	8.3370E-10	5.723501E-11	5.791117E-11	5.781721E-11	5.597664E-11	  -20.1561	    7.6858	    4.3042	  -31.1477	
  760.0000	 1.0242E-9	 1.0572E-9	 1.0114E-9	 1.0041E-9	5.830739E-11	5.800571E-11	5.847686E-11	5.843959E-11	  -20.1054	    7.6858	    4.2913	  -31.1791	
  770.0000	 2.5864E-9	 3.1200E-9	 2.5165E-9	 2.1226E-9	7.982883E-10	7.431168E-10	1.236676E-9	4.150722E-10	  -20.0153	    7.7207	    4.2682	  -31.2104	
  780.0000	 4.2180E-7	 4.7482E-7	 4.1797E-7	 3.7262E-7	9.807747E-7	9.758213E-7	9.835809E-7	9.829220E-7	  -20.0386	    7.7207	    4.2682	  -31.2104	
  790.0000	 3.3332E-7	 9.9997E-7	 0.0000E+0	 0.0000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	    0.0000	    0.0000	    0.0000	    0.0000	
